Food_description,Food_type,Energy (kcal),Water (g),Sugar (g),Vitamin C (mg),Calcium (mg),Carbohydrate (g),Protein (g),Sodium (mg),Vitamin E (mg),Copper (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Zinc (mg),Total Fat (g),Saturated_fat (g),Fiber total dietary (g)
Peach canned in syrup,Peaches and nectarines,53,85.68,12.41,2.7,2,13.59,0.4,3,0.45,0.05,0.3,5,9,91,0.08,0.08,0.006,1.2
Peach canned juice pack,Peaches and nectarines,41,88.79,8.89,2.8,4,10.3,0.45,6,0.44,0.054,0.39,6,12,141,0.1,0.1,0.012,1.2
Peach frozen,Peaches and nectarines,42,88.3,8.39,4.1,4,10.1,0.91,13,0.73,0.078,0.34,8,22,122,0.23,0.27,0.019,1.5
Peach canned ,Peaches and nectarines,47,87.24,10.65,2.7,3,11.94,0.43,4,0.44,0.052,0.34,6,10,116,0.09,0.09,0.009,1.2
Pear Asian ,Pears,42,88.25,7.05,3.8,4,10.65,0.5,0,0.12,0.05,0,8,11,121,0.02,0.23,0.012,3.6
Pear canned ,Pears,51,86.05,11.81,1,5,13.47,0.2,3,0.07,0.049,0.25,5,8,75,0.09,0.06,0.006,1.5
Pear canned juice pack,Pears,45,87.63,10.03,1.1,6,11.79,0.23,5,0.08,0.051,0.29,6,9,100,0.1,0.07,0.009,1.5
Pear canned in syrup,Pears,57,84.47,13.6,0.9,4,15.15,0.18,2,0.07,0.047,0.2,4,6,49,0.08,0.05,0.002,1.5
Pear ,Pears,57,83.96,9.75,4.3,9,15.23,0.36,1,0.12,0.082,0.18,7,12,116,0.1,0.14,0.022,3.1
Pineapple ,Pineapple,50,86,9.85,47.8,13,13.12,0.54,1,0.02,0.11,0.29,12,8,109,0.12,0.12,0.009,1.4
Pineapple canned ,Pineapple,54,85.16,13.07,7.1,15,13.91,0.42,2,0.01,0.098,0.42,17,5,141,0.12,0.12,0.009,0.7
Pineapple canned in syrup,Pineapple,60,83.56,14.88,7.1,14,15.6,0.4,1,0.01,0.097,0.37,17,4,117,0.11,0.11,0.006,0.7
Pineapple canned juice pack,Pineapple,48,86.76,11.26,7,16,12.22,0.44,4,0.01,0.098,0.46,18,7,166,0.12,0.12,0.012,0.8
Pineapple frozen,Pineapple,50,86,9.85,47.8,13,13.12,0.54,1,0.02,0.11,0.29,12,8,109,0.12,0.12,0.009,1.4
Spinach ,Spinach,23,91.4,0.42,28.1,99,3.63,2.86,79,2.03,0.13,2.71,79,49,558,0.53,0.39,0.063,2.2
Stberries ,Strawberries,32,90.95,4.89,58.8,16,7.68,0.67,1,0.29,0.048,0.41,13,24,153,0.14,0.3,0.015,2
Green beans ,String beans,31,90.32,3.26,12.2,37,6.97,1.83,6,0.41,0.069,1.03,25,38,211,0.24,0.22,0.05,2.7
Sun-dried tomatoes,Tomatoes,258,14.56,37.59,39.2,110,55.76,14.11,107,0.01,1.423,9.09,194,356,3427,1.99,2.97,0.426,12.3
Tomatoes ,Tomatoes,18,94.52,2.63,13.7,10,3.89,0.88,5,0.54,0.059,0.27,11,24,237,0.17,0.2,0.028,1.2
Abiyuch,Vegetables,359,79.9,8.55,54.1,8,17.6,1.5,20,0,0.057,1.61,24,47,304,0.31,0.1,0.014,5.3
Apple,Fruits,52,85.56,10.39,4.6,6,13.81,0.26,1,0.18,0.027,0.12,5,11,107,0.04,0.17,0.028,2.4
Apricot,Fruits,48,86.35,9.24,10,13,11.12,1.4,1,0.89,0.078,0.39,10,23,259,0.2,0.39,0.027,2
Arrowroot,Root Vegetables,336,80.75,0,1.9,6,13.39,4.24,26,0,0.121,2.22,25,98,454,0.63,0.2,0.039,1.3
Arugula,Vegetables,130,91.71,2.05,15,160,3.65,2.58,27,0.43,0.076,1.46,47,52,369,0.47,0.66,0.086,1.6
Asparagus,Vegetables,125,186.44,3.76,11.2,48,7.76,4.4,4,2.26,0.378,4.28,28,104,404,1.08,0.24,0.08,4.2
Avocado,Fruits,160,73.23,0.66,10,12,8.53,2,7,2.07,0.19,0.55,29,52,485,0.64,14.66,2.126,6.7
Banana,Fruits,89,74.91,12.23,8.7,5,22.84,1.09,1,0.1,0.078,0.26,27,22,358,0.15,0.33,0.112,2.6
Basil,Herb,23,92.06,0.3,18,177,2.65,3.15,4,0.8,0.385,3.17,64,56,295,0.81,0.64,0.041,1.6
Beets,Root Vegetables,266,175.16,13.52,9.8,32,19.12,3.22,156,0.08,0.15,1.6,46,80,650,0.7,0.34,0.054,5.6
Blackberries,Berries,267,176.3,9.76,42,58,19.22,2.78,2,2.34,0.33,1.24,40,44,324,1.06,0.98,0.028,10.6
Blueberries,Berries,354,168.42,19.92,19.4,12,28.98,1.48,2,1.14,0.114,0.56,12,24,154,0.32,0.66,0.056,4.8
Borage,Herb,109,93,0,35,93,3.06,1.8,80,0,0.13,3.3,52,53,470,0.2,0.7,0.17,0
Boysenberries,Berries,43,88.15,4.88,21,29,9.61,1.39,1,1.17,0.165,0.62,20,22,162,0.53,0.49,0.014,5.3
Breadfruit,Fruits,534,70.65,11,29,17,27.12,1.07,2,0.1,0.084,0.54,25,30,490,0.12,0.23,0.048,4.9
Broccoflower,Vegetables,31,89.79,3.03,88.1,33,6.09,2.95,23,0.04,0.041,0.73,20,62,300,0.64,0.3,0.047,3.2
Broccoli,Vegetables,372,268.6,3.4,269.7,140,19.55,8.21,102,1.71,0.157,2.15,63,199,935,1.24,1.08,0.192,7.6
Cabbage,Vegetables,128,92.18,3.2,36.6,40,5.8,1.28,18,0.15,0.019,0.47,12,26,170,0.18,0.1,0.034,2.5
Cactus,Vegetables,16,94.12,1.15,9.3,164,3.33,1.32,21,0,0.052,0.59,52,16,257,0.25,0.09,0.016,2.2
Calamondin,Citrus fruits,53,85.17,10.58,26.7,37,13.34,0.81,2,0.2,0.042,0.15,12,20,166,0.07,0.31,0.039,1.8
Cantaloupe,Melon,34,90.15,7.86,36.7,9,8.16,0.84,16,0.05,0.041,0.21,12,15,267,0.18,0.19,0.051,0.9
Cardoon,Herb,88,94,0,2,70,4.07,0.7,170,0,0.231,0.7,42,23,400,0.17,0.1,0.011,1.6
Carrots,Root Vegetables,255,176.58,9.48,11.8,66,19.16,1.86,138,1.32,0.09,0.6,24,70,640,0.48,0.48,0.069,5.6
Cassava,Root Vegetables,827,59.68,1.7,20.6,16,38.06,1.36,14,0.19,0.1,0.27,21,27,271,0.34,0.28,0.074,1.8
Cauliflower,Vegetables,154,184.14,3.82,96.4,44,9.94,3.84,60,0.16,0.078,0.84,30,88,598,0.54,0.56,0.26,4
Celeriac,Root Vegetables,218,88,1.6,8,43,9.2,1.5,100,0.36,0.07,0.7,20,115,300,0.33,0.3,0.079,1.8
Celery,Vegetables,87,190.86,2.68,6.2,80,5.94,1.38,160,0.54,0.07,0.4,22,48,520,0.26,0.34,0.084,3.2
Celtuce,Vegetables,93,94.5,0,19.5,39,3.65,0.85,11,0,0.04,0.55,28,39,330,0.27,0.3,0,1.7
Chard,Vegetables,19,92.66,1.1,30,51,3.74,1.8,213,1.89,0.179,1.8,81,46,379,0.36,0.2,0.03,1.6
Cherimoya,Fruits,388,79.39,12.87,12.6,10,17.71,1.57,7,0.27,0.069,0.27,17,26,287,0.16,0.68,0.233,3
Chives,Herb,186,181.3,3.7,116.2,184,8.7,6.54,6,0.42,0.314,3.2,84,116,592,1.12,1.46,0.292,5
Cilantro,Herb,23,92.21,0.87,27,67,3.67,2.13,46,2.5,0.225,1.77,26,48,521,0.5,0.52,0.014,2.8
Clementines,Citrus fruits,245,86.58,9.18,48.8,30,12.02,0.85,1,0.2,0.043,0.14,10,21,177,0.06,0.15,0,1.7
Collards,Vegetables,32,89.62,0.46,35.3,232,5.42,3.02,17,2.26,0.046,0.47,27,25,213,0.21,0.61,0.055,4
Grapefruit,Citrus fruits,32,90.89,6.98,34.4,12,8.08,0.63,0,0.13,0.047,0.09,8,8,139,0.07,0.1,0.014,1.1
Strawberry,Berries,32,90.95,4.89,58.8,16,7.68,0.67,1,0.29,0.048,0.41,13,24,153,0.14,0.3,0.015,2
