Food_description,Food_type,Energy (kcal),Water (g),Sugar (g),Vitamin C (mg),Calcium (mg),Carbohydrate (g),Protein (g),Sodium (mg),Vitamin E (mg),Copper (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Zinc (mg),Total Fat (g),Saturated_fat (g),Fiber total dietary (g)
"Summer squash, yellow or green, NS as to form, cooked",Other vegetables and combinations,47,90.41,3.06,18.0,22,3.99,1.27,149,0.49,0.083,0.46,22,40,275,0.35,3.32,0.9490000000000001,1.1
"Summer squash, yellow or green, fresh, cooked, fat added, NS as to fat type",Other vegetables and combinations,47,90.41,3.06,18.0,22,3.99,1.27,149,0.49,0.083,0.46,22,40,275,0.35,3.32,0.9490000000000001,1.1
"Summer squash, yellow or green, frozen, cooked, fat added, NS as to fat type",Other vegetables and combinations,43,90.83,1.95,5.1,18,4.41,1.18,126,0.43,0.057999999999999996,0.49,19,32,217,0.26,2.7,0.753,1.3
"Summer squash, yellow or green, canned, cooked, fat added, NS as to fat type",Other vegetables and combinations,35,92.85,1.15,2.3,12,2.86,0.6,313,0.41,0.077,0.69,13,21,93,0.28,2.59,0.732,1.3
"Summer squash, yellow or green, fresh, cooked with oil",Other vegetables and combinations,51,90.02,3.06,18.0,21,3.98,1.26,138,0.54,0.083,0.47,22,40,275,0.35,3.75,0.568,1.1
"Summer squash, yellow or green, fresh, cooked with butter or margarine",Other vegetables and combinations,43,90.79,3.06,18.0,22,3.99,1.28,161,0.44,0.083,0.46,22,41,276,0.35,2.89,1.33,1.1
"Summer squash, yellow or green, frozen, cooked with oil",Other vegetables and combinations,46,90.5,1.95,5.1,18,4.4,1.18,116,0.47,0.057999999999999996,0.49,19,32,216,0.26,3.06,0.43,1.3
"Summer squash, yellow or green, frozen, cooked with butter or margarine",Other vegetables and combinations,40,91.16,1.95,5.1,19,4.42,1.19,136,0.38,0.057999999999999996,0.48,19,33,217,0.26,2.33,1.077,1.3
"Summer squash, yellow or green, canned, cooked with oil",Other vegetables and combinations,38,92.53,1.15,2.3,12,2.85,0.59,303,0.46,0.077,0.69,13,20,93,0.28,2.96,0.41,1.3
"Summer squash, yellow or green, canned, cooked with butter or margarine",Other vegetables and combinations,32,93.18,1.15,2.3,13,2.86,0.6,322,0.36,0.077,0.68,13,21,93,0.28,2.23,1.054,1.3
"Spaghetti squash, cooked",Other red and orange vegetables,49,89.68,2.45,3.4,21,6.26,0.65,139,0.41,0.034,0.33,11,14,114,0.19,2.79,0.7809999999999999,1.4
"Turnip, cooked",Other vegetables and combinations,53,88.46,3.96,18.6,32,6.7,0.95,201,0.35,0.08800000000000001,0.32,11,28,199,0.28,2.83,0.787,1.9
Water Chesnut,Other starchy vegetables,78,78.78,3.84,2.0,6,19.22,1.38,12,0.78,0.156,1.36,8,30,184,0.59,0.09,0.025,3.9
"Winter melon, cooked",Other vegetables and combinations,36,93.32,1.14,10.2,18,2.95,0.4,226,0.37,0.021,0.37,10,17,5,0.57,2.73,0.736,1.0
"Lima beans and corn, cooked, no added fat",Other starchy vegetables,92,74.78,2.2,8.1,17,19.25,4.3,151,0.18,0.109,1.14,35,88,268,0.68,0.5,0.09,3.8
"Lima beans and corn, cooked, fat added",Other starchy vegetables,112,72.94,2.13,7.9,16,18.7,4.18,156,0.47,0.106,1.11,34,85,260,0.66,3.02,0.8079999999999999,3.7
"Peppers and onions, cooked, no added fat",Other vegetables and combinations,35,89.73,4.1,47.6,18,8.22,1.13,120,0.43,0.049,0.32,12,29,186,0.19,0.17,0.055999999999999994,2.0
"Peppers and onions, cooked, fat added",Other vegetables and combinations,57,87.46,3.98,46.3,18,7.98,1.1,126,0.71,0.048,0.32,11,28,181,0.19,2.7,0.775,1.9
"Classic mixed vegetables, cooked, from restaurant",Other vegetables and combinations,95,79.13,4.86,13.6,25,12.09,2.81,226,0.8,0.085,0.82,26,66,256,0.54,4.68,1.295,3.2
"Classic mixed vegetables, frozen, cooked, no added fat",Other vegetables and combinations,65,82.98,3.11,3.2,25,13.05,2.85,151,0.38,0.083,0.82,22,51,168,0.49,0.15,0.031,4.4
"Classic mixed vegetables, canned, cooked, no added fat",Other vegetables and combinations,45,87.56,2.8,2.6,22,8.84,2.11,250,0.31,0.071,0.72,13,40,128,0.36,0.65,0.129,2.6
"Classic mixed vegetables, NS as to form, cooked",Other vegetables and combinations,85,80.9,3.02,3.1,25,12.68,2.78,156,0.66,0.08,0.8,21,50,164,0.48,2.68,0.7509999999999999,4.3
"Classic mixed vegetables, frozen, cooked, fat added, NS as to fat type",Other vegetables and combinations,85,80.9,3.02,3.1,25,12.68,2.78,156,0.66,0.08,0.8,21,50,164,0.48,2.68,0.7509999999999999,4.3
"Classic mixed vegetables, canned, cooked, fat added, NS as to fat type",Other vegetables and combinations,66,85.34,2.72,2.5,21,8.59,2.06,253,0.6,0.069,0.7,13,39,125,0.35,3.18,0.848,2.5
"Classic mixed vegetables, frozen, cooked with oil",Other vegetables and combinations,89,80.57,3.02,3.1,24,12.67,2.77,146,0.71,0.08,0.8,21,49,164,0.47,3.05,0.42700000000000005,4.3
"Classic mixed vegetables, frozen, cooked with butter or margarine",Other vegetables and combinations,82,81.23,3.02,3.1,25,12.68,2.78,166,0.62,0.08,0.79,21,50,164,0.48,2.31,1.075,4.3
"Classic mixed vegetables, canned, cooked with oil",Other vegetables and combinations,70,85.01,2.72,2.5,21,8.58,2.05,243,0.64,0.069,0.7,13,39,125,0.35,3.54,0.524,2.5
"Classic mixed vegetables, canned, cooked with butter or margarine",Other vegetables and combinations,63,85.67,2.72,2.5,22,8.59,2.07,263,0.55,0.069,0.7,13,39,125,0.35,2.81,1.173,2.5
"Classic mixed vegetables, canned, reduced sodium, cooked, no added fat",Other vegetables and combinations,44,87.52,2.93,4.5,24,9.19,1.95,15,0.2,0.076,0.81,15,39,131,0.45,0.45,0.07,2.4
"Classic mixed vegetables, canned, reduced sodium, cooked, fat added, NS as to fat type",Other vegetables and combinations,67,85.09,2.84,4.3,24,8.93,1.9,25,0.52,0.073,0.79,14,38,128,0.43,3.19,0.8490000000000001,2.3
"Classic mixed vegetables, canned, reduced sodium, cooked with oil",Other vegetables and combinations,71,84.73,2.84,4.3,23,8.93,1.89,15,0.57,0.073,0.79,14,38,127,0.43,3.59,0.498,2.3
"Classic mixed vegetables, canned, reduced sodium, cooked with butter or margarine",Other vegetables and combinations,64,85.44,2.84,4.3,24,8.94,1.91,35,0.47,0.073,0.79,14,38,128,0.44,2.79,1.2,2.3
"Peas and corn, cooked, no added fat",Other starchy vegetables,79,78.04,3.72,6.7,14,16.73,3.84,152,0.05,0.076,0.99,25,78,171,0.65,0.47,0.076,3.4
"Peas and corn, cooked, fat added",Other starchy vegetables,99,76.1,3.62,6.5,14,16.25,3.74,157,0.34,0.07400000000000001,0.97,24,76,166,0.63,2.99,0.794,3.3
"Vegetables, stew type, cooked, fat added",Other vegetables and combinations,95,78.85,3.04,8.8,19,14.88,1.45,176,0.64,0.124,0.31,18,41,321,0.25,3.59,1.011,1.9
"Vegetables, stew type, cooked, no added fat",Other vegetables and combinations,67,81.62,3.14,9.2,19,15.51,1.49,162,0.24,0.13,0.32,18,42,333,0.26,0.15,0.032,2.0
"Broccoli and cauliflower, cooked, no added fat",Other vegetables and combinations,23,92.08,1.26,35.6,25,4.54,2.35,130,0.69,0.028999999999999998,0.51,11,36,140,0.2,0.17,0.026000000000000002,2.8
"Broccoli and cauliflower, cooked, fat added",Other vegetables and combinations,45,89.74,1.22,34.6,25,4.41,2.29,136,0.96,0.027999999999999997,0.5,11,36,136,0.2,2.7,0.746,2.8
"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,28,91.4,2.19,24.5,28,5.59,1.76,146,0.79,0.047,0.52,11,35,157,0.25,0.34,0.057,3.0
"Broccoli, cauliflower and carrots, cooked, fat added",Other vegetables and combinations,50,89.06,2.13,23.8,28,5.43,1.72,152,1.07,0.045,0.5,11,34,153,0.25,2.89,0.7829999999999999,2.9
"Asian stir fry vegetables, cooked, no added fat",Other vegetables and combinations,46,86.74,3.71,34.1,38,9.83,2.14,136,0.65,0.077,1.1,18,47,266,0.39,0.28,0.066,2.9
"Asian stir fry vegetables, cooked, fat added",Other vegetables and combinations,67,84.54,3.6,33.1,37,9.55,2.09,142,0.92,0.075,1.08,17,46,258,0.38,2.82,0.7859999999999999,2.9
"Jai, Monk's Food",Other vegetables and combinations,62,84.88,1.37,5.6,54,8.45,4.15,14,0.1,0.235,0.86,21,64,179,0.57,1.86,0.28300000000000003,1.4
"Green plantain with cracklings, Puerto Rican style",Other starchy vegetables,329,38.78,14.81,10.9,5,27.42,10.19,455,1.44,0.084,0.74,39,131,504,0.98,21.04,4.756,1.4
