Food_description,Food_type,Energy (kcal),Water (g),Sugar (g),Vitamin C (mg),Calcium (mg),Carbohydrate (g),Protein (g),Sodium (mg),Vitamin E (mg),Copper (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Zinc (mg),Total Fat (g),Saturated_fat (g),Fiber total dietary (g)
"Lemon, raw",Citrus fruits,29,88.98,2.5,53.0,26,9.32,1.1,2,0.15,0.037000000000000005,0.6,8,16,138,0.06,0.3,0.039,2.8
"Lime, raw",Citrus fruits,30,88.26,1.69,29.1,33,10.54,0.7,2,0.22,0.065,0.6,6,18,102,0.11,0.2,0.022000000000000002,2.8
"Orange, raw",Citrus fruits,47,86.75,9.35,53.2,40,11.75,0.94,0,0.18,0.045,0.1,10,14,181,0.07,0.12,0.015,2.4
"Orange, canned, NFS",Citrus fruits,46,87.27,11.14,33.3,11,11.82,0.6,5,0.1,0.032,0.26,11,10,130,0.5,0.04,0.003,0.7
"Orange, canned, juice pack",Citrus fruits,37,89.51,8.87,34.2,11,9.57,0.62,5,0.1,0.033,0.27,11,10,133,0.51,0.03,0.003,0.7
"Orange, canned, in syrup",Citrus fruits,54,85.04,13.42,32.5,10,14.07,0.59,5,0.1,0.032,0.26,10,10,126,0.48,0.04,0.003,0.7
"Tangerine, raw",Citrus fruits,53,85.17,10.58,26.7,37,13.34,0.81,2,0.2,0.042,0.15,12,20,166,0.07,0.31,0.039,1.8
"Fruit mixture, dried",Dried fruits,298,17.22,66.33,5.5,39,78.62,2.28,32,1.52,0.21899999999999997,1.3,24,64,531,0.28,0.62,0.10400000000000001,4.8
"Apple, dried",Dried fruits,243,31.76,57.19,3.9,14,65.89,0.93,87,0.53,0.191,1.4,16,38,450,0.2,0.32,0.052000000000000005,8.7
"Apricot, dried",Dried fruits,241,30.89,53.44,1.0,55,62.64,3.39,10,4.33,0.34299999999999997,2.66,32,71,1162,0.39,0.51,0.017,7.3
"Blueberries, dried",Dried fruits,317,14.8,67.5,23.8,19,80.0,2.5,3,2.35,0.16,0.9,18,36,214,0.49,2.5,0.2,7.5
"Cherries, dried",Dried fruits,333,16.6,67.15,19.3,38,80.45,1.25,13,0.17,0.22899999999999998,0.68,22,36,376,0.25,0.73,0.146,2.5
Banana chips,Dried fruits,519,4.3,35.34,6.3,18,58.4,2.3,6,0.24,0.205,1.25,76,56,536,0.75,33.6,28.97,7.7
"Currants, dried",Dried fruits,290,17.6,62.28,4.7,88,76.98,3.43,43,0.11,0.298,1.88,36,99,777,0.37,0.22,0.085,4.4
"Cranberries, dried",Dried fruits,308,15.79,72.56,0.2,9,82.8,0.17,5,2.1,0.063,0.39,4,8,49,0.1,1.09,0.08800000000000001,5.3
