Food_description,Food_type,Energy (kcal),Protein (g),Carbohydrate (g),Sugars(g),"Fiber, total dietary (g)",Total Fat (g),Saturated_fat,Cholesterol (mg),Vitamin C (mg),Vitamin_D (mcg),Vitamin_E (mg),Calcium (mg),Magnesium (mg),Iron (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Copper (mg),Phosphorus (mg),Water (g),Zinc (mg)
Pepper sweet green ,Other vegetables and combinations,20,0.86,4.64,2.4,1.7,0.17,0.058,0,80.4,0,0.37,10,10,0.34,175,3,0,0.066,20,93.89,0.13
Peach ,Peaches and nectarines,42,0.91,10.1,8.39,1.5,0.27,0.019,0,4.1,0,0.73,4,8,0.34,122,13,0,0.078,22,88.3,0.23
Nectarine ,Peaches and nectarines,39,1.06,9.18,7.89,1.5,0.28,0,0,2.9,0,0.61,2,9,0.3,131,13,0,0.082,26,89,0.21
Peach canned in syrup,Peaches and nectarines,53,0.4,13.59,12.41,1.2,0.08,0.006,0,2.7,0,0.45,2,5,0.3,91,3,0,0.05,9,85.68,0.08
Peach canned juice pack,Peaches and nectarines,41,0.45,10.3,8.89,1.2,0.1,0.012,0,2.8,0,0.44,4,6,0.39,141,6,0,0.054,12,88.79,0.1
Peach frozen,Peaches and nectarines,42,0.91,10.1,8.39,1.5,0.27,0.019,0,4.1,0,0.73,4,8,0.34,122,13,0,0.078,22,88.3,0.23
Peach canned ,Peaches and nectarines,47,0.43,11.94,10.65,1.2,0.09,0.009,0,2.7,0,0.44,3,6,0.34,116,4,0,0.052,10,87.24,0.09
Pear Asian ,Pears,42,0.5,10.65,7.05,3.6,0.23,0.012,0,3.8,0,0.12,4,8,0,121,0,0,0.05,11,88.25,0.02
Pear canned ,Pears,51,0.2,13.47,11.81,1.5,0.06,0.006,0,1,0,0.07,5,5,0.25,75,3,0,0.049,8,86.05,0.09
Pear canned juice pack,Pears,45,0.23,11.79,10.03,1.5,0.07,0.009,0,1.1,0,0.08,6,6,0.29,100,5,0,0.051,9,87.63,0.1
Pear canned in syrup,Pears,57,0.18,15.15,13.6,1.5,0.05,0.002,0,0.9,0,0.07,4,4,0.2,49,2,0,0.047,6,84.47,0.08
Pear ,Pears,57,0.36,15.23,9.75,3.1,0.14,0.022,0,4.3,0,0.12,9,7,0.18,116,1,0,0.082,12,83.96,0.1
Pineapple ,Pineapple,50,0.54,13.12,9.85,1.4,0.12,0.009,0,47.8,0,0.02,13,12,0.29,109,1,0,0.11,8,86,0.12
Pineapple canned ,Pineapple,54,0.42,13.91,13.07,0.7,0.12,0.009,0,7.1,0,0.01,15,17,0.42,141,2,0,0.098,5,85.16,0.12
Pineapple canned in syrup,Pineapple,60,0.4,15.6,14.88,0.7,0.11,0.006,0,7.1,0,0.01,14,17,0.37,117,1,0,0.097,4,83.56,0.11
Pineapple canned juice pack,Pineapple,48,0.44,12.22,11.26,0.8,0.12,0.012,0,7,0,0.01,16,18,0.46,166,4,0,0.098,7,86.76,0.12
Pineapple frozen,Pineapple,50,0.54,13.12,9.85,1.4,0.12,0.009,0,47.8,0,0.02,13,12,0.29,109,1,0,0.11,8,86,0.12
Spinach ,Spinach,23,2.86,3.63,0.42,2.2,0.39,0.063,0,28.1,0,2.03,99,79,2.71,558,79,0,0.13,49,91.4,0.53
Stberries ,Strawberries,32,0.67,7.68,4.89,2,0.3,0.015,0,58.8,0,0.29,16,13,0.41,153,1,0,0.048,24,90.95,0.14
Green beans ,String beans,31,1.83,6.97,3.26,2.7,0.22,0.05,0,12.2,0,0.41,37,25,1.03,211,6,0,0.069,38,90.32,0.24
Sun-dried tomatoes,Tomatoes,258,14.11,55.76,37.59,12.3,2.97,0.426,0,39.2,0,0.01,110,194,9.09,3427,107,0,1.423,356,14.56,1.99
Tomatoes ,Tomatoes,18,0.88,3.89,2.63,1.2,0.2,0.028,0,13.7,0,0.54,10,11,0.27,237,5,0,0.059,24,94.52,0.17
